City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Nantucket,US,78.13,clear sky,41.2835,-70.0995,Jared Coffin House
368,Luoyang,CN,73.54,clear sky,34.6836,112.4536,易家国际青年旅舍
372,Fort Nelson,CA,76.59,smoke,58.8053,-122.7002,The Fort Nelson Hotel
379,Porto-Vecchio,FR,74.73,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
388,Carutapera,BR,77.5,broken clouds,-1.195,-46.02,Lidera
389,Mahon,ES,73.96,few clouds,39.8885,4.2658,ARTIEM Capri
395,Biak,ID,75.36,scattered clouds,-0.9131,122.8766,Penginapan Kim
399,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
408,Axim,GH,77.25,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
420,Lagoa,PT,72.64,clear sky,39.05,-27.9833,Casa Das Faias
424,Sao Filipe,CV,76.53,scattered clouds,14.8961,-24.4956,Hotel Xaguate
426,Nabire,ID,75.45,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
